compound_name,pubchem_id,isomeric_smiles,source,flavor
benzyl alcohol,244,C1=CC=C(C=C1)CO,flavorDB,flower
benzyl alcohol,244,C1=CC=C(C=C1)CO,flavorDB,grapefruit
betaine,247,C[N+](C)(C)CC(=O)[O-],flavorDB,bland
butyraldehyde,261,CCCC=O,flavorDB,bready
butyraldehyde,261,CCCC=O,flavorDB,chocolate
butyraldehyde,261,CCCC=O,flavorDB,creamy
butyraldehyde,261,CCCC=O,flavorDB,pear
butyraldehyde,261,CCCC=O,flavorDB,vegetable
butyraldehyde,261,CCCC=O,flavorDB,fatty
butyraldehyde,261,CCCC=O,flavorDB,earthy
butyraldehyde,261,CCCC=O,flavorDB,woody
butyraldehyde,261,CCCC=O,flavorDB,pungent
butyraldehyde,261,CCCC=O,flavorDB,nutty
butyraldehyde,261,CCCC=O,flavorDB,wine_like
butyraldehyde,261,CCCC=O,flavorDB,meaty
butyraldehyde,261,CCCC=O,flavorDB,spicy
butyraldehyde,261,CCCC=O,flavorDB,citrus
butyraldehyde,261,CCCC=O,flavorDB,herbaceous
butyraldehyde,261,CCCC=O,flavorDB,green
butyraldehyde,261,CCCC=O,flavorDB,apple
butyraldehyde,261,CCCC=O,flavorDB,floral
butyraldehyde,261,CCCC=O,flavorDB,musty
butyraldehyde,261,CCCC=O,flavorDB,cocoa
butyraldehyde,261,CCCC=O,flavorDB,fruity
butyraldehyde,261,CCCC=O,flavorDB,malty
"2,3-butanediol",262,CC(C(C)O)O,flavorDB,onion
"2,3-butanediol",262,CC(C(C)O)O,flavorDB,fruit
"2,3-butanediol",262,CC(C(C)O)O,flavorDB,creamy
"2,3-butanediol",262,CC(C(C)O)O,flavorDB,fruity
"2,3-butanediol",262,CC(C(C)O)O,flavorDB,buttery
1-butanol,263,CCCCO,flavorDB,oil
1-butanol,263,CCCCO,flavorDB,vanilla
1-butanol,263,CCCCO,flavorDB,fruit
1-butanol,263,CCCCO,flavorDB,fusel
1-butanol,263,CCCCO,flavorDB,sweet
1-butanol,263,CCCCO,flavorDB,balsam
1-butanol,263,CCCCO,flavorDB,medicine
1-butanol,263,CCCCO,flavorDB,medicinal
butyric acid,264,CCCC(=O)O,flavorDB,butter
butyric acid,264,CCCC(=O)O,flavorDB,sweat
butyric acid,264,CCCC(=O)O,flavorDB,acetic
butyric acid,264,CCCC(=O)O,flavorDB,sharp
butyric acid,264,CCCC(=O)O,flavorDB,rancid
butyric acid,264,CCCC(=O)O,flavorDB,fruit
butyric acid,264,CCCC(=O)O,flavorDB,cheese
formic acid,284,C(=O)O,flavorDB,pungent
formic acid,284,C(=O)O,flavorDB,vinegar
formic acid,284,C(=O)O,flavorDB,formyl
cellobiose,294,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,flavorDB,sweet
Aconitic Acid,309,C(C(=CC(=O)O)C(=O)O)C(=O)O,flavorDB,musty
Aconitic Acid,309,C(C(=CC(=O)O)C(=O)O)C(=O)O,flavorDB,nutty
Aconitic Acid,309,C(C(=CC(=O)O)C(=O)O)C(=O)O,flavorDB,mild
citric acid,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,flavorDB,acidic
citric acid,311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,flavorDB,sweet
coumarin,323,C1=CC=C2C(=C1)C=CC(=O)O2,flavorDB,sweet
coumarin,323,C1=CC=C2C(=C1)C=CC(=O)O2,flavorDB,new mown hay
coumarin,323,C1=CC=C2C(=C1)C=CC(=O)O2,flavorDB,green
coumarin,323,C1=CC=C2C(=C1)C=CC(=O)O2,flavorDB,tonka
coumarin,323,C1=CC=C2C(=C1)C=CC(=O)O2,flavorDB,bitter
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,spicy
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,herb
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,herbal
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,leather
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,caraway
4-isopropylbenzyl alcohol,325,CC(C)C1=CC=C(C=C1)CO,flavorDB,strong
